付款客户,K&S订单号,费率,,
东莞长盈,KS-SZ-CYI-236241,30,围堵,
领益,KS-SZ-LYI-236242,39,,
领胜,,39,,
锦泰电子,,,KS-SZ-JTA-236243,福鼎
惠州科达利,KS-SZ-KDL-236244,24.73,围堵,
东莞长盈,KS-SZ-CYI-236246,30,围堵,
宁德晟硕,KS-SZ-SHS-236258,39,,
福鼎领福,KS-SZ-LFU-236259,39,,
腾博,KS-SZ-TBO-236263,39,,
瑞德丰,KS-SZ-RDF-236264,35,,
飞荣达,KS-SZ-FRD-236265,38,,
浙江锦泰电子,,39,KS-SZ-JTA-236267,蕉城
博奥,KS-SZ-BAO-236268,39,,
福州福享,KS-SZ-FUH-236269,39,,
浙江中泽（KS),KS-SZ-ZZE-236270,39,,
安捷利,KS-SZ-AJL-236271,30,围堵,
宜宾长盈,KS-SZ-CYI-236272,30,围堵,
青岛英联,KS-SZ-YLI-236273,39,,
傲科塑料制品,KS-SZ-AKE-236274,39,,
